,county,state,"Rates of Persons, aged 45 to 54, Living with HIV, 2020","Rates of Persons, aged 55+, Living with HIV, 2020",HIV aged 45+
477,Long,Georgia,0.0,159.0,111.3
478,Lowndes,Georgia,1513.0,750.0,978.9
479,Lumpkin,Georgia,185.0,102.0,126.89999999999999
480,Macon,Georgia,902.0,0.0,270.59999999999997
481,Madison,Georgia,152.0,0.0,45.6
482,Marion,Georgia,0.0,313.0,219.1
483,McDuffie,Georgia,523.0,0.0,156.9
484,McIntosh,Georgia,963.0,0.0,288.9
485,Meriwether,Georgia,595.0,0.0,178.5
486,Miller,Georgia,756.0,0.0,226.79999999999998
487,Mitchell,Georgia,1156.0,0.0,346.8
488,Monroe,Georgia,379.0,0.0,113.7
489,Montgomery,Georgia,0.0,282.0,197.39999999999998
490,Morgan,Georgia,278.0,248.0,257.0
491,Murray,Georgia,108.0,183.0,160.5
492,Muscogee,Georgia,1212.0,769.0,901.8999999999999
493,Newton,Georgia,595.0,469.0,506.79999999999995
494,Oconee,Georgia,86.0,84.0,84.6
495,Oglethorpe,Georgia,242.0,0.0,72.6
496,Paulding,Georgia,289.0,194.0,222.5
497,Peach,Georgia,1186.0,453.0,672.9
498,Pickens,Georgia,140.0,140.0,140.0
499,Pierce,Georgia,389.0,0.0,116.69999999999999
500,Pike,Georgia,0.0,105.0,73.5
501,Polk,Georgia,398.0,0.0,119.39999999999999
502,Pulaski,Georgia,347.0,240.0,272.1
503,Putnam,Georgia,258.0,0.0,77.39999999999999
504,Quitman,Georgia,0.0,548.0,383.59999999999997
505,Rabun,Georgia,319.0,130.0,186.7
506,Randolph,Georgia,1618.0,435.0,789.9
507,Richmond,Georgia,1417.0,1060.0,1167.1
508,Rockdale,Georgia,885.0,507.0,620.4
509,Schley,Georgia,0.0,0.0,
510,Screven,Georgia,813.0,0.0,243.89999999999998
511,Seminole,Georgia,0.0,414.0,289.79999999999995
512,Spalding,Georgia,799.0,376.0,502.9
513,Stephens,Georgia,357.0,250.0,282.1
514,Stewart,Georgia,3134.0,0.0,940.1999999999999
515,Sumter,Georgia,1410.0,368.0,680.5999999999999
516,Talbot,Georgia,0.0,400.0,280.0
517,Taliaferro,Georgia,0.0,0.0,
518,Tattnall,Georgia,712.0,574.0,615.4
519,Taylor,Georgia,899.0,435.0,574.2
520,Telfair,Georgia,931.0,0.0,279.3
521,Terrell,Georgia,1205.0,0.0,361.5
522,Thomas,Georgia,603.0,0.0,180.9
523,Tift,Georgia,919.0,557.0,665.5999999999999
524,Toombs,Georgia,648.0,416.0,485.6
525,Towns,Georgia,0.0,81.0,56.699999999999996
526,Treutlen,Georgia,1215.0,369.0,622.8
527,Troup,Georgia,598.0,292.0,383.79999999999995
528,Turner,Georgia,922.0,1026.0,994.8
529,Twiggs,Georgia,0.0,333.0,233.1
530,Union,Georgia,185.0,137.0,151.39999999999998
531,Upson,Georgia,447.0,0.0,134.1
532,Walker,Georgia,257.0,184.0,205.89999999999998
533,Walton,Georgia,466.0,292.0,344.19999999999993
534,Ware,Georgia,1098.0,0.0,329.4
535,Warren,Georgia,0.0,637.0,445.9
536,Washington,Georgia,367.0,334.0,343.9
537,Wayne,Georgia,494.0,436.0,453.4
538,Webster,Georgia,0.0,0.0,
539,Wheeler,Georgia,912.0,382.0,541.0
540,White,Georgia,0.0,85.0,59.49999999999999
541,Whitfield,Georgia,261.0,139.0,175.6
542,Wilcox,Georgia,1878.0,652.0,1019.8
543,Wilkes,Georgia,602.0,315.0,401.1
544,Wilkinson,Georgia,0.0,0.0,
545,Worth,Georgia,554.0,0.0,166.2
546,Hawaii,Hawaii,383.0,350.0,359.9
547,Honolulu,Hawaii,295.0,251.0,264.2
548,Kalawao,Hawaii,0.0,0.0,
549,Kauai,Hawaii,0.0,0.0,
550,Maui,Hawaii,373.0,0.0,111.89999999999999
551,Ada,Idaho,0.0,0.0,
552,Adams,Idaho,0.0,0.0,
553,Bannock,Idaho,0.0,0.0,
554,Bear Lake,Idaho,0.0,0.0,
555,Benewah,Idaho,0.0,0.0,
556,Bingham,Idaho,0.0,0.0,
557,Blaine,Idaho,0.0,0.0,
558,Boise,Idaho,0.0,0.0,
